average_rain_fall_mm_per_year,avg_temp,pesticides_tonnes
1171.666237,20.79426117,28201.10352
1163.629556,20.57227748,28053.53692
1154.795708,20.33189813,27908.07323
1146.327948,20.23459169,27741.43215
1145.523346,20.32792913,28108.4451
1145.731862,20.30993503,28722.28726
1146.420582,20.28806807,29761.46147
1147.397628,20.39869262,30803.00666
1148.26461,20.53004458,31685.3146
1147.711103,20.56440302,32551.92122
1147.347293,20.50757065,32841.04844
1146.982408,20.59076865,32402.92166
1147.267108,20.66650257,31907.47742
1146.684487,20.6655834,34103.40171
1147.23191,20.57555379,38545.77061
1146.301563,20.58246895,38877.94238
1146.030083,20.59645368,41464.51536
1144.868287,20.54486493,42714.06733
1145.491593,20.58861058,45047.63279
1145.838312,20.62584768,46706.13429
1146.131977,20.63030592,49753.33431
1147.953777,20.60421183,51697.15807
1150.011072,20.68799225,52634.27652
1151.995323,20.81106066,52582.17039